idx	utterance	label
0	Est-ce que le n° de siren est obligatoire pour une adhésion ?	adhesion_1030_piecesjustificatives
1	le N° de siren	adhesion_1030_piecesjustificatives
2	le N° de siret	adhesion_1030_piecesjustificatives
3	un Kbis	adhesion_1030_piecesjustificatives
4	Dans les cas le n° de SIRET est obligatoire ?	adhesion_1030_piecesjustificatives
5	Dans quels cas le N° de SIREN est obligatoire ?	adhesion_1030_piecesjustificatives
6	N° SIREN SIRET Identification coordonnées d'une entreprise et clause bénéficiaire	adhesion_1030_piecesjustificatives
7	Pieces justificatives et SIREN SIRET Kbis	adhesion_1030_piecesjustificatives
8	N° SIREN SIRET Identification coordonnées d'une entreprise et souscription contrat de capitalisation	adhesion_1030_piecesjustificatives
9	N° SIREN SIRET Identification coordonnées d'une entreprise et souscription contrat homme clé	adhesion_1030_piecesjustificatives
10	Pieces justificatives et SIREN SIRET	adhesion_1030_piecesjustificatives
11	Numero INSEE d'une entreprise	adhesion_1030_piecesjustificatives
12	Comment identifier une entreprise dans le cas d'une souscription à un contrat Homme clé ?	adhesion_1031_piecesjustificatives
13	Que sais-tu sur les contrats Homme clé ?	adhesion_1031_piecesjustificatives
14	contrats Homme clé	adhesion_1031_piecesjustificatives
15	contrat homme clé Kbis	adhesion_1031_piecesjustificatives
16	Quels sont les documents nécessaires pour souscrire à un contrat Homme clé ?	adhesion_1031_piecesjustificatives
17	c'est au sujet d'un contrat Homme clé	adhesion_1031_piecesjustificatives
18	Quels documents sont nécessaires pour souscrire à un contrat de capitalisation par une personne morale ?	adhesion_1032_piecesjustificatives
19	Quels documents sont nécessaires pour racheter à un contrat de capitalisation par une personne morale ?	adhesion_1032_piecesjustificatives
20	souscription d'un contrat de capitalisation par une personne morale	adhesion_1032_piecesjustificatives
21	rachat d'un contrat de capitalisation par une personne morale	adhesion_1032_piecesjustificatives
22	c'est au sujet de la souscription d'un contrat de capitalisation par une personne morale	adhesion_1032_piecesjustificatives
23	Faut il un SIRET pour la souscription d'un contrat de capitalisation par une personne morale ?	adhesion_1032_piecesjustificatives
24	Comment identifier une entreprise dans le cas d'une désignation en faveur d’une personne morale dans une clause bénéficiaire ?	adhesion_1033_piecesjustificatives
25	c'est au sujet d'une désignation en faveur d’une personne morale dans une clause bénéficiaire	adhesion_1033_piecesjustificatives
26	clause bénéficiaire et personne morale	adhesion_1033_piecesjustificatives
27	personne morale	adhesion_1033_piecesjustificatives
28	Quels sont les documents à fournir pour une souscription un contrat de retraite collective ?	adhesion_1034_piecesjustificatives
29	documents souscription un contrat de retraite collective.	adhesion_1034_piecesjustificatives
30	Comment identifier une entreprise dans le cas de la liquidation d'une retraite ?	adhesion_1034_piecesjustificatives
31	c'est au sujet de la liquidation d'une retraite	adhesion_1034_piecesjustificatives
32	Quelles sont les pièces justificatives requises lors de la souscription d’un contrat de capi par une personne morale ?	adhesion_1035_piecesjustificatives
33	Quelles sont les pièces à fournir en cas souscription d'un contrat de capitalisation par une personne morale ?	adhesion_1035_piecesjustificatives
34	Pièces justificatives souscription SCI ?	adhesion_1035_piecesjustificatives
35	Quelles pièces à fournir pour une souscription par une SCI ?	adhesion_1035_piecesjustificatives
36	Souscription personne morale SCI, quelles pièces ?	adhesion_1035_piecesjustificatives
37	adhésion personne morale 	adhesion_1035_piecesjustificatives
38	Quelles sont le conditions de souscription des contrats homme clé ?	adhesion_1036_piecesjustificatives
39	pour savoir quelles sont les conditions de souscription des contrats Homme clé	adhesion_1036_piecesjustificatives
40	Les capitaux décès issus des contrats PEE bénéficient-ils d’intérêts post-mortem dans OMEGA ?	adhesion_1037_lexique
41	terme PEE décès	adhesion_1037_lexique
42	contrats PEE intérêts après décès	adhesion_1037_lexique
43	plan épargne entreprise deces	adhesion_1037_lexique
44	interet post-mortem	adhesion_1037_lexique
45	Les capitaux décès issus des contrats PEE bénéficient-ils de pénalités de retard ?	adhesion_1038_lexique
